co2_ppm,pm25_ugm3,pm10_ugm3,no2_ppb,exposure_hours,open_environment,absences,day_of_year,date
601;9479156330688,15;999032435178837,34;618897065538015,5;366692263901206,10;811426102031652,0;0,0,356,2024-12-21
374;03150170229935,3;5356312428844325,4;751270940383044,50;84144373025914,8;968441548693685,1;0,0,264,2024-09-20
510;9459556280249,3;088371015193118,4;287298003399775,32;76501039515282,7;237190939057172,0;0,0,68,2024-03-08
616;0146689511975,185;7010397458862,248;7761203494784,24;480262606204583,8;759899115345599,0;0,0,107,2024-04-16
497;53983206287313,6;251317508540665,9;16911473767846,11;459998390287137,8;581135171177316,0;0,0,67,2024-03-07
566;6291656887737,3;959187940647853,7;075635409128286,26;31048306855043,9;479090414391878,0;0,0,199,2024-07-17
586;4780432057602,8;31555841284354,15;641689802626548,28;08868803038427,7;920115772832271,0;0,0,192,2024-07-10
484;384171705315,8;937008158689267,11;9847660419482,6;486540987173583,10;072395502024222,0;0,0,2,2024-01-02
536;428478636292,18;046499239149583,38;824765660365095,21;875900645369985,9;64890360045497,0;0,1,257,2024-09-13
287;93663299654634,12;232920078620385,25;174723673197317,38;55990144841,8;16540000727714,1;0,0,1,2024-01-01
398;7806179332855,3;4410259660733065,5;391919883562911,37;41118247832638,7;761551287468191,1;0,2,358,2024-12-23
524;8459109164104,9;312437542486146,12;75309245409546,2;140308001404667,9;839496957980852,0;0,0,115,2024-04-24
387;6108409017575,12;06201649941926,17;524884061430722,3;140525326065572,6;573051363785923,1;0,0,88,2024-03-28
531;6205651965818,6;662968347070281,9;423102800809463,27;648140237806665,4;986774341713213,1;0,0,197,2024-07-15
454;191517322362,9;114121049921492,12;859618324118106,11;42183143696485,4;975404016632009,0;0,1,92,2024-04-01
427;9977756651508,5;739171077062752,10;139425220918458,22;61203311650216,6;407251049820982,1;0,0,274,2024-09-30
456;53702886430455,21;48511144149284,32;68449860355973,298;07646100879737,9;3193045975545,1;0,0,344,2024-12-09
626;4763973439669,53;85914226094635,87;37707308688462,5;324084533674792,7;154402290780273,0;0,0,160,2024-06-08
453;8482709292336,2;409456552114922,5;278046615737363,23;00007956872727,8;409032005622452,0;0,0,173,2024-06-21
609;7898251292976,8;318049828756834,15;936408796364278,45;42873341318642,7;009407858237862,0;0,0,33,2024-02-02
540;6139836611752,5;310953951740336,11;440233498663044,3;152107418201818,7;025285268032068,0;0,0,73,2024-03-13
400;9245674476024,8;9954426922285,12;848198888978768,41;13227650509833,5;949072650977692,1;0,0,196,2024-07-14
567;7262084557963,17;413961364867504,28;627255619980364,4;032889554250677,7;816208749168624,0;0,0,284,2024-10-10
459;9529847786735,17;813891807242523,32;051798442552844,20;561612879353437,7;649672528442086,1;0,0,87,2024-03-27
419;98915614206027,22;068175582849545,30;21314760614832,34;388422895585656,8;825330046363643,1;0,0,309,2024-11-04
544;1881250994012,8;71174320676547,11;35809810901673,6;962653639608181,8;575395214023436,0;0,2,224,2024-08-11
516;8811841882944,4;731904521529833,9;006664007923012,8;376241852629295,7;605705238083174,0;0,0,44,2024-02-13
546;8110407150749,248;77608300469885,467;1113187533552,17;58061798895266,4;987822309879649,0;0,0,336,2024-12-01
579;7278404712628,14;37810913987556,24;00727159109085,22;793812958295923,10;141158935156556,0;0,0,138,2024-05-17
635;1610089687211,9;61099143765453,16;729657388968807,8;208480040276818,7;829911321923953,0;0,0,270,2024-09-26
465;731070070389,28;845167567691867,48;283888508212605,8;327168996827828,8;159285379787793,0;0,0,359,2024-12-24
667;9820024793759,220;54094467554077,291;46791381856644,105;47517218165127,11;200990131622117,0;0,0,36,2024-02-05
352;3956100238749,7;451100512560313,11;935429458615005,77;05237149407404,9;8164442531919,1;0,0,34,2024-02-03
530;892894297865,5;917971783960798,8;636534330942208,92;97715722600016,8;892898397633461,0;0,0,88,2024-03-28
575;2990323890746,12;663134296523166,17;583797437635436,13;536584966461207,7;995388425258349,0;0,0,146,2024-05-25
556;8595120641019,19;629431361707613,42;42015105065661,13;298756425742988,7;976708902331694,0;0,0,16,2024-01-16
418;8650240089703,22;166364836628198,40;77333798791588,192;06302368788192,8;480228995443724,1;0,0,233,2024-08-20
527;5126649785634,5;7306583157547175,11;20796798560981,29;29227164439016,8;813813451713264,0;0,0,41,2024-02-10
510;41994392047,3;678863745919507,5;826685087386628,13;870567004387112,11;422803511568269,0;0,0,255,2024-09-11
420;53176215278944,10;666822636288972,17;641137057426583,77;57720588864734,12;0,1;0,2,281,2024-10-07
590;9761258212615,23;36820920410723,35;361512474705535,8;548299738845504,8;580521610807098,0;0,0,126,2024-05-05
561;4209291579028,7;345511659437099,10;19020137724573,161;17925237061394,4;0,0;0,0,8,2024-01-08
498;4254242843607,16;416347154707246,23;98639226184447,4;673955348697943,6;09651105341656,0;0,0,350,2024-12-15
494;9799937716625,23;45338968419125,47;32337350410744,251;3152404257999,11;622993763743532,1;0,0,340,2024-12-05
558;4379712525965,14;524922699502476,27;73956991045308,12;59724924049481,9;437305256511491,0;0,0,324,2024-11-19
588;7717271303376,27;34225297797289,49;00376979070271,31;09545153270082,8;852092974489992,0;0,0,176,2024-06-24
577;7777305154167,25;448570014881223,43;96446312305547,9;690543047901418,7;666324177190479,0;0,0,228,2024-08-15
408;5502494538964,8;034750252963715,17;115551513406434,75;68929602812506,5;621955881548031,1;0,0,323,2024-11-18
506;3891375881818,2;7490914733513523,3;753778437634452,4;143281713496273,11;355579509491005,0;0,0,18,2024-01-18
584;8376163073957,7;424807496290609,11;5273160646125,9;3233758768728,6;353579497051822,0;0,0,56,2024-02-25
480;5185132716732,17;983287285597036,29;042003128856752,338;9497280819414,9;458623633076558,1;0,0,35,2024-02-04
538;7459043621511,6;62051632540272,13;268727799877658,3;86759626139576,5;398596460491713,0;0,0,118,2024-04-27
455;8663691654391,48;30471911111679,105;94496079099254,25;43727533879862,7;569302630343447,1;0,0,282,2024-10-08
513;8832447894213,12;343704956752404,18;720505687134946,20;200965485979427,9;985914260905927,1;0,0,254,2024-09-10
420;4214305582085,19;25167974060888,40;17587997529688,50;92307598662638,7;500611655066413,1;0,0,213,2024-07-31
572;8258428702022,9;928159096602098,20;328506248925795,4;243428473581131,7;263100249267945,0;0,0,61,2024-03-01
527;8684408539664,6;690454624211317,10;050345123898786,49;97430197368043,8;021272536697362,0;0,0,88,2024-03-28
439;115939838639,3;166515669311349,5;254513955325386,72;68510161763828,5;327994215130144,1;0,0,271,2024-09-27
504;93884259935953,16;14224727699494,26;936658143009705,21;382425499313648,4;95170618590797,1;0,0,347,2024-12-12
589;5249809392817,116;51853952406816,254;0568606473635,28;27558025405151,9;428472965387856,0;0,0,32,2024-02-01
490;675481800032,5;098157093005936,7;457598017981661,15;469064553291048,7;1555801487644,1;0,0,133,2024-05-12
618;3287284292597,2;393876276162473,4;8338159361517,19;775907816074486,9;412969521162912,0;0,0,64,2024-03-04
541;2602304979655,33;07565680519075,52;94663301545446,3;5976179400752946,10;236366034301415,0;0,0,199,2024-07-17
580;9171782776978,171;29440923506635,335;3573357020267,19;25748709051202,10;397285217990929,0;0,0,256,2024-09-12
434;4866621703272,19;44648148114519,32;631388520710274,25;34154599401818,4;757983430847322,1;0,0,342,2024-12-07
559;4499811493065,22;13581222627901,40;29877269818737,3;0723667168325157,6;604341423492204,0;0,0,155,2024-06-03
532;1914167379389,194;1918726537022,397;967229959962,11;935528807800551,9;075170614087613,0;0,0,231,2024-08-18
454;8497982496359,11;306566547754205,22;88165284039285,24;86230541645369,9;106003343807304,1;0,0,301,2024-10-27
575;7094215262148,23;29887729188432,48;45655917197135,20;028043299707956,12;0,0;0,0,35,2024-02-04
490;9067590059916,52;30256166892511,70;79965512144051,108;65880672931176,6;184772933533837,0;0,0,26,2024-01-26
665;5432365411276,5;268871865778216,10;131226545258311,12;719836735193349,10;336336802908196,0;0,0,23,2024-01-23
479;6389571100179,20;901881462611623,29;805845500445333,11;004224943057912,8;744549220077081,0;0,0,141,2024-05-20
467;14868323273606,11;140781656061913,18;652305640226984,3;3563678961128187,4;71952826667306,0;0,0,285,2024-10-11
1793;9897163680062,13;655505138857134,24;494283409321387,32;803865518730895,6;904369526546811,1;0,0,320,2024-11-15
587;4997616377761,8;481731374483724,14;100586097997386,11;250552790999894,8;52505602464665,0;0,0,156,2024-06-04
481;2059908526078,4;621629578468027,8;1694258731961,9;426597563504735,4;591266583407469,1;0,0,113,2024-04-22
577;7007305558567,16;734749314039348,36;76413027458203,13;745114681124528,4;0,0;0,0,139,2024-05-18
539;2651936291851,4;931961316161318,7;011747615466057,5;594573091470938,4;477514842726713,0;0,0,209,2024-07-27
486;1647377108501,4;004991925084296,7;641165909199166,46;01494114102565,8;518267310168678,0;0,0,323,2024-11-18
2078;938478205708,22;189485796382527,36;75468357236792,13;471133563644647,7;03066548253312,0;0,0,364,2024-12-29
499;37029730927327,14;81616587731048,21;034641360030445,4;304040440976185,6;760088605372764,0;0,2,86,2024-03-26
598;507184005065,9;012613666167995,13;003967576637914,18;726546353073488,6;828756329668544,0;0,0,285,2024-10-11
531;1765571098716,25;418514536463103,54;76026992256197,5;530870721315965,5;151755176684125,0;0,0,60,2024-02-29
1419;6185330816725,32;39334173643117,67;75525294473492,111;63379297242156,7;087193634319785,0;0,1,54,2024-02-23
520;7168495008203,21;30798554219436,45;09489448567088,3;8474023184624633,4;359203903856329,0;0,0,93,2024-04-02
564;7758872565374,5;891612767385762,12;91665104281296,21;00605273948988,10;375282278717814,0;0,0,325,2024-11-20
421;8137723598013,24;77595067660514,36;85382652481261,50;79998992643056,11;384659441354437,1;0,0,265,2024-09-21
490;6667762660141,9;889501503975442,16;019958030458607,34;57985785997471,4;0,0;0,0,213,2024-07-31
554;6212326895147,28;544392166150445,54;29991520769913,6;313174418054891,7;061740681351823,0;0,0,333,2024-11-28
462;24832855543616,15;640479625424389,27;142836903728824,65;40790026108819,7;191977138730405,1;0,2,10,2024-01-10
424;6528412314435,13;289072626098546,22;27980241948585,75;45283451480617,7;651030986765949,1;0,0,358,2024-12-23
511;7377016629006,5;549274742937972,9;001090801628743,7;188730510962478,10;0030608487488,0;0,0,203,2024-07-21
553;9229962414581,9;735963259724622,17;859676012885778,2;5097944415101767,7;0675784356121385,0;0,0,196,2024-07-14
453;1149395101605,16;55196986800046,30;092045406763337,5;304064436910007,7;823497074537426,0;0,0,58,2024-02-27
455;5521735374067,136;0728630908447,196;66774879270895,3;894967361608989,12;0,0;0,0,256,2024-09-12
414;0777889373782,15;555601179214694,26;826658628485045,187;7796823909412,7;777414184789386,1;0,0,223,2024-08-10
439;3276424144077,19;48657776598502,35;03929482333252,30;620037854567045,11;532479720598811,1;0,0,180,2024-06-28
558;6544539358803,10;216642492307642,18;525411233945988,11;725042274376536,9;003975314777666,0;0,0,362,2024-12-27
523;7678108474776,9;26006914513018,13;78913630950106,262;81527800019734,6;892582013848301,1;0,0,35,2024-02-04
591;4595773921211,197;12091000102703,387;9426740789853,41;34645532449618,6;558532025649138,0;0,0,359,2024-12-24
530;4036882021943,16;87546552042574,22;32082698677248,7;368542116026052,7;985454810000587,0;0,0,103,2024-04-12
449;0491896048656,16;93234363353574,27;419368142760213,22;69202285935928,5;747053750506884,1;0,0,161,2024-06-09
479;8482381217314,2;3262060050308007,4;65750961994216,19;104541252847625,6;2722680672086,0;0,0,200,2024-07-18
449;0743432003805,26;251612054708453,47;44988405466948,35;741894157639095,7;153878797948441,1;0,0,160,2024-06-08
435;567068053993,45;43599364408032,69;74634889857681,37;17562745839525,8;586687083854459,1;0,0,183,2024-07-01
559;3631136202854,7;23301163996317,13;9268587332454,11;94171113579585,11;651994423482094,0;0,0,353,2024-12-18
1997;0254974065008,10;790186767716644,19;537271630011244,85;14967795955987,7;030091146403475,0;0,0,136,2024-05-15
571;1607908544703,6;12209519781197,12;345935017122835,13;764372123374182,8;923036092756226,0;0,0,226,2024-08-13
631;9643347801546,13;238641028528727,25;967894465292453,4;213368320730116,4;744204306835897,0;0,0,243,2024-08-30
533;4743910925886,3;770165251199203,6;971401744987093,110;60039805990812,10;120577281774631,0;0,0,106,2024-04-15
564;1027033259364,8;111745686648078,14;109245229460845,10;034443100888046,4;556634850146088,0;0,0,71,2024-03-11
484;5071995855556,24;21373150003613,34;3802035584127,2;6806756891407644,9;596772944202868,1;0,0,77,2024-03-17
515;9267716868497,28;35477681089495,43;530245310075344,109;82930060973216,7;838150093436393,0;0,0,54,2024-02-23
553;445548908625,11;494539876887629,19;278521883399133,12;840645510002007,7;758694114520421,0;0,0,277,2024-10-03
2064;009647595736,6;72608562586363,12;371755801554311,43;5161521269886,7;399470564162338,0;0,0,111,2024-04-20
454;8838049274416,3;9955420054201065,7;041491789670457,33;73233408802751,5;397494751215804,1;0,0,224,2024-08-11
493;619412968672,5;018044210026941,7;824967895754543,5;308157723082245,5;503458980262394,0;0,0,75,2024-03-15
541;4706104555365,8;596076767555774,11;224911102054476,6;534404202149402,9;673040312077964,0;0,0,14,2024-01-14
474;8999145622725,7;475166189127984,13;056239633811307,32;58679848333818,8;023873560362777,1;0,0,258,2024-09-14
627;0686164677026,8;89075643209563,13;843471347209414,14;467148818334852,7;384886529637476,0;0,0,189,2024-07-07
597;5562495651124,9;397802424933882,18;43047645522867,130;42323866013575,8;886795901272114,0;0,0,364,2024-12-29
557;6591228755779,13;742386485799017,18;16127338055333,186;48180963078568,8;202620566442503,1;0,0,239,2024-08-26
493;959146226717,19;789750789664456,36;142913003109655,43;56112731256614,6;41413690012024,0;0,0,334,2024-11-29
493;6160318360339,9;165775060435475,19;68191455612416,88;41354665035772,12;0,1;0,0,304,2024-10-30
551;0005203443011,3;239173394122156,4;7193730843031245,19;05881448882755,9;481512757006216,0;0,0,91,2024-03-31
671;3881759930604,139;85700799726376,241;18124833627317,9;247054855396804,8;254137146719112,0;0,0,184,2024-07-02
409;5850857322424,25;66130372572777,35;47110159275362,42;24591161282695,6;972777395572121,1;0,0,17,2024-01-17
489;6166894691534,19;189398060010607,35;752030824012344,8;639628375956898,9;90551937838838,0;0,0,12,2024-01-12
420;0303677277989,16;18782858452026,29;064898388131944,40;11181800418493,6;424864260547809,1;0,0,166,2024-06-14
343;80521378450965,30;280868610983788,50;46697291807891,7;635435552486867,6;256450518061474,1;0,0,146,2024-05-25
423;71224891596194,10;692535178031976,18;91765366025453,30;406400414722476,11;386651271480766,1;0,0,282,2024-10-08
412;0433669223151,71;73570061602365,151;14118095269268,349;41233148918855,8;061350352141417,1;0,0,37,2024-02-06
549;0236271885724,15;120569741164338,22;32801418261256,17;953807694355472,6;473301626569775,0;0,0,70,2024-03-10
467;087798788858,2;082478499955376,2;7495131493815275,11;994759585817189,8;011371396079355,1;0,0,169,2024-06-17
652;5702503529532,42;108866897600144,87;39688571299759,43;18346863695119,9;700373107696752,0;0,0,335,2024-11-30
597;0254302911629,4;9850051123816375,9;069745091627968,12;758868472511027,9;242508907910384,0;0,0,170,2024-06-18
421;1548172168799,5;90694730421323,12;413996801695744,25;98818922520569,9;948524526172903,1;0,0,253,2024-09-09
486;0951197190985,17;226296275941625,31;649024909845235,27;60586098764335,5;500888194521039,0;0,0,346,2024-12-11
569;5151502903904,2;525903259834915,5;125423922093948,6;1352287277679824,9;898298323349689,0;0,0,297,2024-10-23
460;7860075787615,5;240917582338766,8;839887273243962,9;495516481459706,7;641882447897707,0;0,0,142,2024-05-21
649;8875259512612,25;363066334367925,50;08885869555235,27;5425943689066,8;178201533407753,0;0,0,273,2024-09-29
508;97200603606433,17;98165920361227,38;15235741143762,5;711798055071077,10;41898898728956,1;0,1,225,2024-08-12
511;8494608737177,15;057751413908653,27;328473667407145,17;007495195098045,9;40545134654258,0;0,0,183,2024-07-01
437;2119282545473,5;384301745962712,7;875653891386963,6;65953135187357,8;702104961909358,0;0,0,221,2024-08-08
517;6936187082706,5;810189795347134,8;95883537782717,27;261834539594204,4;032006633706091,1;0,0,53,2024-02-22
533;1276092848428,13;98656542763598,20;683054890385343,5;742808105402258,7;908996289239427,0;0,0,118,2024-04-27
614;2689787184077,22;896329229394563,34;852135796992414,11;34917901811931,6;430649224858999,0;0,0,365,2024-12-30
444;33434047233794,15;84446814258685,24;967299428437943,12;004477807940198,9;422090608794726,0;0,0,159,2024-06-07
504;0374986227736,162;5552462864423,292;53773865720586,11;22590234086958,9;981916374071323,0;0,0,136,2024-05-15
540;3146219830909,4;333507609799762,7;926819473441763,6;547972144561548,7;395937954434474,0;0,0,77,2024-03-17
452;3490296882371,93;9639265268996,158;2211363071874,280;91699998719656,6;665917048422626,1;0,0,336,2024-12-01
512;9960717112453,16;70400486205362,30;967198849172163,165;98938916848098,11;112601591031863,0;0,0,45,2024-02-14
481;14249661737495,15;1008583640836,20;739782131254785,254;33580984236963,6;793704865972611,1;0,0,18,2024-01-18
396;6189785308703,15;147837316554002,20;88901025145788,227;7847006362524,5;610924985927496,1;0,0,355,2024-12-20
531;4572308987224,9;46918924659228,13;774323131009812,5;482784747341338,6;334657693962113,0;0,0,205,2024-07-23
547;2177379027139,136;06153023713628,240;32136475659385,7;034765879954065,6;89000122377158,0;0,0,324,2024-11-19
570;866330043525,9;738282256267258,14;535313457400498,27;35473162323972,6;277273894100904,0;0,0,83,2024-03-23
582;6968926853334,21;77486885734712,33;85896217639566,13;114068321739303,9;690782766556143,0;0,0,50,2024-02-19
393;76789540810654,13;544470481960548,22;48763448033424,33;924156542126354,4;0,1;0,0,281,2024-10-07
447;9531497558626,7;8827539750484386,16;007346992187962,5;430427499957149,6;234879177108942,0;0,0,166,2024-06-14
616;6606093139104,13;359133809536852,17;5335414680892,27;39151463663652,7;905005109090274,0;0,0,243,2024-08-30
559;9388407187755,13;00878995855733,24;51429635451911,12;223187954756884,8;420492440004587,0;0,0,164,2024-06-12
495;09080780660673,7;572938526898899,14;403644851459417,3;5446280318024543,11;383669675049166,0;0,0,324,2024-11-19
633;0691185313514,7;066408944893015,14;265597143543305,28;434853749552165,11;090475425527371,0;0,0,56,2024-02-25
546;9404780575716,15;165263749854086,32;445742775681424,14;940529648406862,4;798525688110916,0;0,0,39,2024-02-08
610;7578310438296,9;008504939014763,11;874327141267925,24;99885983958628,4;183904118860841,0;0,0,319,2024-11-14
544;0511088846065,5;782955343532151,8;318233817983042,29;47740382461331,8;049942524741997,0;0,0,128,2024-05-07
663;6448754929191,4;72867349568775,9;918648784151776,9;182845397693033,6;653629527073824,0;0,0,122,2024-05-01
537;7670421221602,16;237657646258928,27;809695633659484,27;92097929821082,5;615947316033629,1;0,0,247,2024-09-03
525;0621510912555,12;533331255970037,22;66191198435663,12;995728610449786,8;032241794921308,0;0,0,186,2024-07-04
598;2942570572613,6;627996528510009,12;571483291189258,33;18520614991383,8;461394636668869,0;0,0,208,2024-07-26
578;7225569751089,5;682374157757988,10;859925877389612,6;034610368932977,6;322063120711645,0;0,0,315,2024-11-10
622;1178934519409,4;769046662123193,10;198922775121872,77;01626198604754,6;751830509925012,0;0,0,304,2024-10-30
401;7538269709948,15;920036249645754,34;98037090237079,21;34998040862314,6;475916945224701,1;0,0,239,2024-08-26
581;1630875999064,4;857583560615513,9;46326116774564,5;757847263984654,7;177017517557439,0;0,0,215,2024-08-02
603;5054692109752,153;86037806364604,239;7912589353217,11;046321432327584,9;082888198779475,0;0,0,292,2024-10-18
362;0630256788442,9;141303542444248,19;121569981587932,63;21869979462439,5;844188277696826,1;0,0,224,2024-08-11
390;8370743667113,2;230777112011077,2;998831046245207,31;18098432296522,6;718630013004798,1;0,0,88,2024-03-28
417;646069334394,155;8116652266123,234;95974803412096,141;75985962387406,7;201435713828996,0;0,0,25,2024-01-25
523;8355899333266,8;10273468546088,17;077705632316544,10;35160851194498,7;98649518968972,0;0,0,220,2024-08-07
485;8771127897981,26;52805884750032,40;60311371590012,14;58885108246529,8;551968985824944,1;0,0,275,2024-10-01
630;1414231257617,10;433412761482453,15;635365813090148,13;059328936538773,12;0,0;0,0,135,2024-05-14
453;7047390209888,6;79587201745465,9;67944725579012,14;045560920744656,9;14425143521678,1;0,0,233,2024-08-20
531;4307772785646,9;9694527076698,20;668675154588357,33;94139745859388,9;191862694078331,1;0,0,66,2024-03-06
380;9949270892554,15;320531243129128,26;81173298105749,9;716843268136197,7;466773973440926,1;0,0,80,2024-03-20
437;7970536386906,1;8739061093821223,3;5742957889420444,6;069259516489275,6;040268408605135,0;0,0,255,2024-09-11
447;22261505516906,31;09463244426785,47;1133353858821,19;51211917217424,6;943571970300435,1;0,0,125,2024-05-04
563;0439269363584,4;76599407739772,9;447326841887817,8;007964235504565,6;579335019570217,0;0,0,146,2024-05-25
448;36526259529535,32;84930784901153,65;17319070578917,28;03772782999421,8;784461351109131,1;0,0,103,2024-04-12
415;9534739976074,206;356785981192,326;31987312728046,58;20239319645108,4;697437152752534,0;0,3,277,2024-10-03
534;6527976292326,13;250575050617092,22;123350511421236,27;06587912407077,9;185067439174489,0;0,0,124,2024-05-03
461;7318299697088,19;06628250665223,28;38437992019214,22;938267527143143,7;765520821127949,0;0,0,267,2024-09-23
580;1803529298023,12;737080871779863,27;75288819057657,2;2588660408711565,9;466696465378076,0;0,0,278,2024-10-04
561;9958947658109,13;65827284783448,25;691789236040808,19;051737716827887,6;552183621691453,0;0,0,111,2024-04-20
403;0060106836322,10;858069015771337,23;248097480071,38;87117631059049,6;197260570315509,1;0,0,313,2024-11-08
509;1679849597984,11;065621423298476,17;406742464279453,17;323971886560212,7;186662561923113,0;0,0,89,2024-03-29
397;0393239055524,8;074827684657881,16;179546941639988,12;500899967215172,7;138701494492348,1;0,0,158,2024-06-06
536;2392541636096,6;705561698801923,13;339191358659416,14;23525839299938,9;61269682214986,0;0,0,216,2024-08-03
597;3085392300743,33;73755436112169,64;86011380808026,16;680208432286623,9;59360966611413,0;0,0,301,2024-10-27
480;8564372198673,6;780574162811346,14;707574429322673,12;350985165933176,11;810046167070835,0;0,0,36,2024-02-05
570;2427909310707,155;24547884154984,256;8070404380397,17;99271375840175,7;009015710964207,0;0,0,87,2024-03-27
423;487119081378,13;18959585102734,18;69817240832472,42;50619452398896,4;0,1;0,0,118,2024-04-27
492;42763006425935,6;860613888233834,13;066299670425542,10;890281950968056,7;181154853938365,0;0,0,328,2024-11-23
533;5781784027265,12;224054754308495,23;914881821099502,5;033269593343543,8;461315850416714,0;0,0,182,2024-06-30
477;8854606548375,12;885859160188804,23;420751510596368,2;2468822103985078,9;429061382104338,0;0,0,68,2024-03-08
422;3175347326409,8;92091757467872,13;257697686932902,28;55192139135629,8;607208542567438,1;0,0,359,2024-12-24
468;1273264446691,9;154767246397885,16;057556479158126,5;281681725312254,7;007444933820602,0;0,0,159,2024-06-07
657;8835079749833,3;997495015898703,6;319922745023155,8;766395739233804,11;428328714831114,0;0,0,285,2024-10-11
542;1158131183037,14;810095681849448,24;95086255104728,16;527438786551098,5;932528398875547,0;0,0,164,2024-06-12
498;0164695204448,13;508760621948888,25;40588176946186,23;188575535239245,7;450710302876324,0;0,0,361,2024-12-26
552;8387946440533,9;033645327883734,17;802544036970083,121;80627857700674,5;840180318278384,0;0,0,73,2024-03-13
444;3835975154585,19;323499466930468,29;159203628765788,12;342961237174787,8;039153524180344,1;0,0,119,2024-04-28
526;7418240280066,9;844767436906162,16;389498188642445,14;036382619742543,11;17801151754574,0;0,0,341,2024-12-06
1303;709532915056,16;16972113337186,24;937678261862843,30;34242095922275,7;7181481522023745,0;0,0,195,2024-07-13
585;4504626028382,4;390370610859979,6;492341554016129,1;7523482221592508,7;730400295813042,0;0,0,89,2024-03-29
508;16993114336833,32;076088817407964,64;31411370493831,12;385881104071576,4;608075983245482,0;0,0,345,2024-12-10
505;45090556131913,168;09576059420402,356;0818596918093,4;435549474942781,7;426015628418003,0;0,0,76,2024-03-16
436;2474151424178,3;716099707791779,6;069167365463123,46;51394120730839,10;300974100066703,1;0,0,221,2024-08-08
1460;1622644884396,9;679648262174611,19;128446902077645,32;776334649989714,7;499527668685851,1;0,0,139,2024-05-18
374;2404468900724,8;940774887845821,18;84085701609836,26;94443083162624,7;364419572175378,1;0,0,241,2024-08-28
518;3437133722263,9;62869988258235,19;849678325281324,11;319134391257654,10;211429151686586,1;0,0,154,2024-06-02
638;698062810077,14;040568700644902,20;562862857902797,6;162223369817436,7;37287177405887,0;0,0,53,2024-02-22
525;0578376266174,18;390141053069925,39;73489169903362,16;371591683611275,10;584107264454246,0;0,0,142,2024-05-21
574;5934177833459,7;456833917842442,12;221816384537092,78;29460825159863,5;430720809224511,0;0,0,320,2024-11-15
558;6750092726121,7;357093823382822,11;810464806063774,8;259290969745727,9;35570794968206,0;0,0,31,2024-01-31
2360;82741334593,3;875761995458128,5;256262663125872,12;012096570788504,11;292658415390914,0;0,0,223,2024-08-10
607;1744946860746,6;144744122162561,10;676838791881478,10;258685554846426,10;015713794909828,0;0,0,292,2024-10-18
532;3249445111541,2;2746988467509164,3;1802843319769027,24;43376903583512,4;2654528967294505,0;0,0,266,2024-09-22
402;22297796997873,7;333162247550238,11;173435470469416,35;28363270967187,6;723393517138232,1;0,2,282,2024-10-08
369;6776839871214,29;10289713435573,46;13531994157004,205;78101257354345,7;5160969506844335,1;0,4,276,2024-10-02
460;1731817933612,9;584246810760176,19;43631285423388,40;35521076352276,10;01991099341416,1;0,0,44,2024-02-13
494;6189552829418,13;242431194597769,27;64939894604413,16;659435419440307,5;336763767577128,0;0,0,62,2024-03-02
454;6647774241396,3;613900258681776,5;681845128911186,12;506862513472845,5;962126659214704,0;0,0,201,2024-07-19
501;2056269454484,41;24642416853879,85;49675566652336,4;596549790689044,4;789697139640015,0;0,0,335,2024-11-30
475;1071197831363,43;21216296887906,89;51433453037234,41;29823458625431,6;348399499824372,0;0,0,9,2024-01-09
641;2284981043539,12;897585788219535,25;64279763225465,48;32425369573464,5;496786686055375,0;0,0,71,2024-03-11
592;898385416967,34;370611322285725,49;21959539099623,28;079740501937295,11;195811720392816,0;0,0,90,2024-03-30
539;521641521003,181;29992492945095,348;32983469645467,35;36938619664847,6;705245458704067,0;0,0,24,2024-01-24
1472;8913950336546,14;603876920526805,31;405953610148387,8;986507510173347,9;381850584260016,0;0,0,140,2024-05-19
544;642098458857,20;628606339774933,39;48906120441169,33;91686648099152,8;03593901443774,0;0,0,316,2024-11-11
488;32294792030416,13;539349315288089,21;64204283289004,22;93469267756419,8;007922561849176,0;0,0,340,2024-12-05
631;3874446361795,2;876748988046676,5;035810624831294,25;809523579329756,6;817112360921121,0;0,0,78,2024-03-18
572;3346026210795,14;81439591142913,27;868138482772395,14;518215375588229,9;540044974261416,0;0,0,214,2024-08-01
477;7652307404126,8;580529085531762,15;097555629267378,6;187795065642221,8;308688465284682,0;0,0,16,2024-01-16
528;5796793149835,9;038799961888673,12;726247531086964,15;522710529129569,8;193487825878094,0;0,0,29,2024-01-29
487;4629047969145,10;505001715460196,16;606912222060885,21;966922450609427,6;813158779644153,0;0,0,291,2024-10-17
380;8600134517832,25;35228470543967,51;2662854688709,25;40791540399884,7;140448147693959,1;0,0,43,2024-02-12
496;3088773765821,18;945500835787502,39;31714776756232,41;36572595468764,9;177822235150847,1;0,0,352,2024-12-17
654;5649984282078,18;630648025622826,26;522032158396925,12;491209575908169,8;460111223091001,0;0,0,53,2024-02-22
456;0859455708515,5;199305516864878,11;215671898266484,6;6998259451832345,8;24694462901708,0;0,0,276,2024-10-02
573;7781542014342,8;276601189412858,13;2089618492292,111;52573270131631,6;491915016664905,0;0,0,232,2024-08-19
500;9614458526904,15;451172205577649,29;296695135374428,82;6471593237713,11;88821540705099,0;0,3,212,2024-07-30
2193;442050386607,41;29540010611687,81;62624832886071,7;507995836694317,7;040586520884354,0;0,0,8,2024-01-08
504;45636454566784,160;17438227236875,325;27438486842834,8;178555217554548,7;939494676549159,0;0,0,122,2024-05-01
